写给大家看的C语言书, 8.1 ,108,佩里(Greg Perry), 人民邮电出版社, 2010-1-1, 39.00元
软件随想录, 8.7 ,2172,（美）斯克拉, 人民邮电出版社, 2009, 49.00元
代码整洁之道, 8.6 ,1097,阮奇桢, 人民邮电出版社, 2010-1-1, 59.00元
Android应用开发揭秘, 6.6 ,231,杨丰盛, 机械工业出版社, 2010-1, 69.00元
MATLAB实用教程, 8.4 ,78,穆尔(Holly Moore), 电子工业出版社, 2010-1-1, 59.00元
Getting Started with Processing, 8.1 ,81,Casey Reas, Maker Media, Inc, 2010-7-5, USD 19.99
The Linux Programming Interface, 9.4 ,146,Michael Kerrisk, No Starch Press, April 2010, $99.95
Professional Android 2 Application Development, 8.5 ,35,Reto Meier, Wrox, 2010-3-1, USD 44.99
jQuery, 8.7 ,45,Earle Castledine, SitePoint, 2010-02-28, USD 39.95
编程之魂, 7.5 ,273,Federico Biancuzzi, 电子工业出版社, 2010-04, 59.80元
深入PHP, 8.6 ,184,Matt Zandstra, 人民邮电出版社, 2010-5, 59.00元
重构, 8.4 ,65,Jay Fields, 机械工业出版社, 2010, 49.00元
Linux程序设计, 8.3 ,299,Neil Matthew, 人民邮电出版社, 201005, 99.00元
Python基础教程, 8.0 ,1598,Casey Reas, 人民邮电出版社, 2010-7, 69.00元
我编程，我快乐, 8.0 ,644,[美] Chad Fowler, 人民邮电出版社, 2010-8, 39.00元
C语言深度解剖, 7.5 ,110,杨丰盛, 机械工业出版社, 2010-7, 29.00元
Learn You a Haskell for Great Good!, 9.2 ,301,Miran Lipovaca, No Starch Press, 2010, USD 44.95
Erlang编程指南, 7.3 ,82,Francesco Cesarini, 机械工业出版社, 2011-3, 79.00元
深入浅出WPF, 8.7 ,215,刘铁猛, 中国水利水电出版社, 2010-7, 45.00元
Cracking the Coding Interview, Fourth Edition, 8.6 ,217,Gayle Laakmann, CreateSpace, 2008-10-15, USD 40.00
Ruby on Rails 3 Tutorial, 9.3 ,116,Michael Hartl, Addison-Wesley Professional, 2010-12-16, USD 39.99
程序员应该知道的97件事, 7.2 ,153,Kevlin Henney, 电子工业出版社, 2010-9, 45.00元
C#高效编程, 8.6 ,47,（美）瓦格纳　著, 人民邮电出版社, 2010-12-3, 49.00元
高性能JavaScript, 9.0 ,473,Francesco Cesarini, 电子工业出版社, 2010-11, 49.00元
程序员的思维修炼, 8.4 ,1641,Miran Lipovaca, 人民邮电出版社, 2010-12-10, 39.00元
A Byte of Python, 8.8 ,1042,杨丰盛, Lulu Marketplace, 2008-10-1, USD 27.98
API Design for C++, 8.0 ,58,Martin Reddy, Morgan Kaufmann, 2011-2-18, USD 59.95
黑客与画家, 8.8 ,14290,Casey Reas, 人民邮电出版社, 2011-4, 49.00元
JavaScript DOM编程艺术 （第2版）, 8.7 ,1178,[英] Jeremy Keith, 人民邮电出版社, 2011-4, 49.00元
大话数据结构, 7.9 ,905,Jay Fields, 清华大学出版社, 2011-6, 59.00元
疯狂Android讲义, 7.3 ,231,李刚, 电子工业出版社, 2011-6, 89.00元
Java语言程序设计, 8.7 ,210,（美）  Y. Daniel Liang, 机械工业出版社, 2011-6, 75.00元
黑客, 8.3 ,824,李刚, 机械工业出版社华章公司, 2011-10-31, 69.00元
计算机科学概论（第11版）, 9.3 ,227,J. Glenn Brookshear, 人民邮电出版社, 2011-10-1, 69.00元
Linux Shell脚本攻略, 8.1 ,321,(印)拉克什曼, 人民邮电出版社, 2011-11, 49.00元
剑指Offer, 8.2 ,524,何海涛, 电子工业出版社, 2012-1, 45.00元
编程大师访谈录, 7.4 ,206,Susan Lammers, 人民邮电出版社, 2012-1, 59.00元
Ruby元编程, 9.4 ,478,[意] Paolo Perrotta, 华中科技大学出版社, 2012-1-10, 56.00元
Python编程实践, 7.1 ,92,Jennifer Campbell, 机械工业出版社华章公司, 2011-12-31, 49.00元
Linux/Unix设计思想, 7.8 ,549,Francesco Cesarini, 人民邮电出版社, 2012-3-28, 39.00元
编程语言实现模式, 8.3 ,173,Terence Parr, 华中科技大学出版社, 2012-3-20, 72.00元
Java并发编程实战, 9.0 ,705,Brian Goetz, 机械工业出版社华章公司, 2012-2, 69.00元
Head First Python（中文版）, 7.9 ,490,巴里（Barry.P.）, 中国电力出版社, 2012-3-1, 68.00元
爱上Processing, 7.8 ,149,Gasey Reas &amp; Ben Fry, 人民郵電出版社, 2012-4, 38.00元
Python标准库, 8.4 ,115,Doug Hellmann, 机械工业出版社华章公司, 2012-6-15, 139.00元
Node.js开发指南, 7.5 ,676,郭家寶（BYVoid）, 人民邮电出版社, 2012-7, 45.00元
编写可读代码的艺术, 8.7 ,718,Boswell, D., 机械工业出版社, 2012-7-10, 59.00元
C# 5.0 in a Nutshell, 9.1 ,24,Joseph Albahari, O&#39;Reilly Media, 2012-6-26, GBP 38.50
Erlang/OTP并发编程实战, 8.3 ,97,[美] Martin Logan, 人民邮电出版社, 2012-7-12, 79.00元
Android开发精要, 8.1 ,165,范怀宇, 机械工业出版社, 2012-8, 69.00元
程序员的职业素养, 8.7 ,498,(印)拉克什曼, 人民邮电出版社, 2012-9-1, 49.00元
Head First HTML5 Programming（中文版）, 8.5 ,95,埃里克•弗里曼 (Eric Freeman), 中国电力出版社, 2012-9, 78.00元
老码识途, 9.0 ,41,李刚, 电子工业出版社, 2012-8, 56.00元
程序员的数学, 7.2 ,731,（美）  Y. Daniel Liang, 人民邮电出版社, 2012-10, 49.00元
算法（第4版）, 9.4 ,617,塞奇威克 (Robert Sedgewick), 人民邮电出版社, 2012-10-1, 99.00元
Objective-C编程, 8.3 ,232,[美] Aaron Hillegass, 华中科技大学出版社, 2012-9-25, 58.00元
快学Scala, 7.6 ,176,[美] C. S. 霍斯曼, 电子工业出版社, 2012-10, 79.00元
Android应用性能优化, 8.1 ,58,[法] Hervé Guihot, 人民邮电出版社, 2012-10, 49.00元
The Nature of Code, 9.1 ,79,Daniel Shiffman, The Nature of Code, 2012-12-13, GBP 19.95
Elements of Programming Interviews, 9.4 ,26,Adnan Aziz, CreateSpace Independent Publishing Platform, 2012-10-11, USD 39.95
Clojure程序设计, 7.7 ,56,哈罗威 (Stuart Halloway), 人民邮电出版社, 2013-4-1, 49.00元
Clojure编程, 8.5 ,86,Chas Emerick, 电子工业出版社, 2013-3-26, 99.00元
深入理解Nginx, 8.5 ,138,陶辉, 机械工业出版社, 2013-4-15, 89.00元
明解C语言, 8.7 ,86,柴田望洋, 人民邮电出版社, 2013-5, 59.00元
Go Web编程, 7.7 ,204,谢孟军, 电子工业出版社, 2013-6-1, 65.00元
JavaScript异步编程, 7.8 ,162,Trevor Burnham, 人民邮电出版社, 2013-6, 32.00元
Objective-C高级编程, 8.6 ,192,坂本一树 (Kazuki Sakamoto), 人民邮电出版社, 2013-6-1, CNY 49.00
